(37, 38, 43)
(43, 43, 51)
(42, 42, 50)
(68, 74, 86)
(67, 73, 85)
(72, 78, 90)
(69, 75, 87)
(73, 79, 91)
(96, 102, 114)
(97, 103, 115)
(95, 101, 113)
(115, 122, 138)
(61, 65, 77)
(0, 0, 0)
(1, 1, 1)
(52, 70, 84)
(51, 69, 83)
(50, 68, 82)
(150, 186, 208)
(151, 187, 209)
(152, 188, 210)
(65, 95, 119)
(64, 94, 118)
(41, 64, 82)
(40, 63, 81)
(42, 65, 83)
(39, 62, 80)
(146, 181, 203)
(106, 136, 164)
(126, 157, 185)
(125, 156, 184)
(105, 135, 163)
(32, 48, 71)
(16, 25, 32)
(15, 24, 31)
(68, 92, 116)
(69, 93, 117)
(67, 91, 115)
(149, 170, 189)
(90, 110, 137)
(74, 91, 117)
(153, 174, 193)
(75, 92, 118)
(75, 89, 100)
(76, 90, 101)
(74, 88, 99)
(77, 91, 102)
(73, 87, 98)
(146, 181, 201)
(145, 180, 202)
(146, 181, 203)
(145, 180, 200)
(148, 180, 201)
(161, 189, 228)
(160, 188, 227)
(158, 183, 223)
(158, 186, 225)
(162, 190, 229)
(73, 79, 91)
(74, 80, 92)
(72, 78, 90)
(75, 81, 93)
(71, 77, 89)
(163, 192, 210)
(167, 193, 206)
(30, 54, 30)
(162, 191, 209)
(168, 194, 207)
(159, 188, 206)
(157, 186, 204)
(158, 187, 205)
(157, 188, 206)
(158, 189, 207)
(173, 199, 212)
(172, 198, 211)
(174, 200, 213)
(168, 194, 207)
(167, 193, 206)
(227, 226, 231)
(222, 223, 228)
(225, 224, 229)
(221, 222, 227)
(220, 221, 226)
(146, 177, 197)
(141, 170, 188)
(142, 171, 189)
(143, 172, 190)
(147, 178, 198)
(185, 194, 211)
(186, 195, 212)
(184, 193, 210)
(187, 196, 213)
(183, 192, 209)
(0, 0, 0)
(2, 0, 1)
(21, 17, 8)
(13, 9, 0)
(19, 15, 6)
(183, 198, 205)
(184, 199, 206)
(181, 198, 205)
(180, 197, 205)
(159, 185, 198)
